idsociete;nomsociete;villeSociete;codePostalSociete;regionSociete;paysSociete
228;Flatchr;Lyon;;;FR
229;2s2i Groupe;Montpellier;;;FR
230;Open;;;;
231;AVISTO;Aix-en-Provence;;;FR
232;ILYEUM;Clichy;;;FR
233;Open Minds Open Hearts Day Care;;;;
234;Acadomia;Azur;;;FR
235;GFI Group;Montpellier;;;FR
236;OpenText;;;;
237;ICSIS;Lille;;;FR
238;Open Sourcing;;;;
239;GFI;Montpellier;;;FR
240;Artefact Group;;;;
241;BeMore Holding;Aix-en-Provence;;;FR
242;2S2I;Montpellier;;;FR
243;Artefacts Studio;;;;
244;rh Studio;Lille;;;FR
245;CEGEDIM SRH;Boulogne-Billancourt;;;FR
246;CHU de Bordeaux;Talence;;;FR
247;Openfield Live;;;;
248;TV France International;Paris;;;FR
249;Axande;Courbevoie;;;FR
250;Phaidon International;;;;
251;Banco Cetelem, BNP Paribas Personal Finance;Mérignac;;;FR
252;Sogia Systeme;Paris;;;FR
253;Adthink-Media;;;;
254;PERFECTSIGHT;Puteaux;;;FR
255;SKF;;;;
256;Fitae;Aix-en-Provence;;;FR
257;Talea S.r.l.;Paris;;;FR
258;TALEA consult;Paris;;;FR
259;Groupe Apsaroke;Marseille;;;FR
260;Gfi Informatique;;;;
261;ciorane;Paris;;;FR
262;GFI Software;;;;
263;aldecis;Paris;;;FR
264;SudOuest RH;Paris;;;FR
265;AKKA Tech;Paris;;;FR
266;ACCEO Solutions;;;;
267;Asigma;Paris;;;FR
268;Valuetis;Paris;;;FR
269;Eversa;Région de Paris;;;France
270;Alteca;Paris;;;FR
271;Blue Talent;Région de Paris;;;France
272;BNP Paribas Personal Finance;Mérignac;;;FR
273;OPEN;Toulouse;;;FR
274;ibis;;;;
275;LA REDOUTE;;;;
276;OTV;;;;
277;Veolia Water Tech;;;;
278;Groupe NICOLLIN - Groupe VEOLIA;;;;
279;Transdev;;;;
