idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
22;5;« Salaire Atos »;Je travaille chez Atos à temps plein depuis plus d'un an;Avantageslieux, les gens, equipement, ecadrement, mangement;Inconvénientsmanque des marchés,  manque des primes;3.3
23;5;« Bon entreprise »;Je travaille chez Atos à temps plein;AvantagesDe très beaux projets informatique;InconvénientsPas de treiziemes mois / prime intéressement;3.3
24;5;« entretien »;J'ai travaillé chez Atos à temps partiel;"Avantagestechnique 
salaire 
temps 
vie gout";Inconvénientsrythme très haut;3.3
25;5;« Ok »;J'ai travaillé chez Atos à temps plein;AvantagesBonne ambiance de travail;InconvénientsPeu de marge de négociations;3.3
26;5;« Un appart grâce à ce job »;J'ai travaillé chez Atos à temps plein plus de 10 ans;AvantagesY avais pas Skype il payait les voyages en Europe en 2003. Allemagne suisse Canada angleterre Espagne;InconvénientsTu avances tes frais et il te rembourseront peut être un jour on. A donné un tel portable pro;3.3
27;5;« Belle expérience »;Je travaille chez Atos à temps plein;AvantagesPlein de mission, en particuliers avec WorldLine;InconvénientsPeu de projets innovant, beaucoup plus de la maintenance d'applications;3.3
28;5;« Une ESN de plus »;J'ai travaillé chez Atos à temps plein plus de 10 ans;AvantagesTaille du groupe, missions variées.;InconvénientsCourse à la rentabilité, perpétuels changements de managers, pas de suivi des consultants.;3.3
29;5;« Bonne ambiance dans mon équipe »;J'ai travaillé chez Atos à temps plein;AvantagesTechnologie de pointe (HPC), manager directe accessible;"InconvénientsPetit salaire
Évolution quasi nulle
Localisation des bureaux";3.3
30;5;« tres bonne expérience »;Je travaille chez Atos à temps plein depuis plus de 10 ans;"AvantagesGrande entreprise mondiale, facilité pour les jeunes diplômés, de bons stages, salaires attractifs pour les ingénieurs, cadres moins pour les postes d'assistantes
Evolution interne pour ceux considérés comme des Talents.
Un siège moderne, avec une cantine et salle de sport, tramway à 10 min à pied
Très belle expérience pour les stagiaires et alternants";InconvénientsLoin de la Défense, les assistantes sont pas bien considérées et de moins ne moins présentes, salaires des Etam et assistantes cadres pas élévés (pas d'augmentation régulière sauf grâce aux RP ), participation et intéressement très faible (mini légal) pour un grand groupe, 30 jours de CP, un CET, RTT, chèque vacances/ culture et Noel  si Atos International ...;3.3
31;5;« Favorable »;Je travaille chez Atos à temps plein depuis plus d'un an;AvantagesMission Ambiance Hiérarchie Direction Implication;InconvénientsRien A Signaler Pour Instant;3.3
32;5;« Null »;Je travaille chez Atos à temps plein;Avantagesy'a pas d'avantage chez atos;Inconvénientspas de gestion de carière, pas de prime, pas de  formation ni de suivi de mission.;3.3
33;5;« Bonne boite »;Je travaille chez Atos à temps plein depuis plus d'un an;AvantagesProjets Sympas, bonnes conditions de travail, pas trop de stress;InconvénientsSalaires en dessous du marché;3.3
34;5;« Bonne entreprise pour commencer »;J'ai travaillé chez Atos à temps plein plus de 3 ans;AvantagesMissions de grande envergures;InconvénientsManque de communication managériale;3.3
35;5;« boite financière »;Je travaille chez Atos à temps plein depuis plus de 3 ans;"AvantagesPayer bien les Comissionnements
Tremplin pour les jeunes";"InconvénientsPas de produit
Gros pbl d'organisation";3.3
36;5;« Sérieux »;J'ai travaillé chez Atos à temps plein plus de 5 ans;AvantagesTaille des projets, ambiance dans les équipes excellentes, salaire correct;InconvénientsPeu d'avantages périphériques, lourdeur administrative, peu d'agressivité commerciale;3.3
37;5;« Bonne entreprise pour débuter »;J'ai travaillé chez Atos à temps plein;AvantagesCohésion d equipe, projet inintéressant;InconvénientsPas d augmentation de salaire;3.3
38;5;« Mauvaise ambiance »;Je travaille chez Atos à temps plein depuis plus de 3 ans;AvantagesMissions plus ou moins intéressantes;InconvénientsMauvaise ambiances. Argent avant aspirations du salarié;3.3
39;5;« Avis Atos »;Je travaille chez Atos à temps plein;Avantagesgrande boite d'IT reconnue mondialement;InconvénientsLes  salaires ont des évolutions lentes.;3.3
40;5;« atos avis »;Je travaille chez Atos à temps plein depuis moins d'un an;Avantagesambiance, CE, resto, proximité avec le client;Inconvénientssuivi, mission, concurrence entre les différences agences;3.3
41;5;« Je ne recommande pas. »;Je travaille chez Atos à temps plein depuis moins d'un an;AvantagesLes missions peuvent être des fois intéressantes .;InconvénientsLes ressources humaines et l'empathie sont inexistantes.;3.6
42;5;« dépend de la mission, gel d'augmentation de salaire »;Je travaille chez Atos à  depuis plus d'un an;AvantagesSi vous réussissez à avoir une bonne mission et un bon salaire d'entré c'est une bonne ssii. Vous pourriez avoir un pc portable d'atos et vous avez 100% transport en commun si vous êtes en mission.;InconvénientsComme toute les ssii, il faut savoir dire non à des missions que vous voulez pas, sinon ils insistent que vous l'ayez.;3.6
43;5;« Bonne activité manageriale »;Je travaille chez Atos à temps plein depuis plus de 5 ans;"AvantagesJe ne suis pas resté assez longtemps pour savoir si cela m'aurait permis d'avoir des avantages particulier.
Mais je pense qu'on a tous une chance d'obtenir un bonus....";"InconvénientsLe salaire n'est pas conséquent mais à l'heure ou je vous parle, j'ai pris le large :-)
c'était 35000 euros annuel.";3.6
44;8;« Pas de suivi du management »;Je travaille chez Atos Consulting à temps plein depuis moins d'un an;AvantagesMutuelle, salaire correct, avantages CE;InconvénientsPas de suivi ni écoute du management, pas de changement de mission malgré plusieurs mois sur un projet peu intéressant et dans un contexte difficile;2.8
45;8;« Consultant Junior »;Je travaille chez Atos Consulting à temps plein depuis plus d'un an;AvantagesÉquilibre vie privée vie professionnelle;InconvénientsManque de perspectives d’évolution de carrière;2.8
46;8;« Bonne expérience »;J'ai travaillé chez Atos Consulting à temps plein;"Avantages-Managers souvent compétents pour la plupart, idéal pour un junior pour faire son apprentissage dans le conseil
-Renom du groupe Atos";Inconvénients-Pas toujours suffisamment de missions intéressantes pour les consultants;2.8
47;8;« belle première expérience dans le conseil »;J'ai travaillé chez Atos Consulting à temps plein moins d'un an;"AvantagesEquipe
Premier salaire pour un junior";InconvénientsTop management distant. Il aurait été plus intéressant d'avoir des rapports plus proches;2.8
48;8;« Entreprise formatrice et challengeante »;Je travaille chez Atos Consulting à temps plein;AvantagesSalaire attractif, missions intéressantes et variées;InconvénientsBeaucoup de déplacement, changement régulier de mission donc peu de stabilité;2.8
49;8;« retour sur Atos »;Je travaille chez Atos Consulting à temps plein;AvantagesDiversité des collaborateurs et ambiance de travail;InconvénientsStratégie - organisation interne - positionnement du conseil au sein du groupe;2.8
50;8;« Mais où va-t-on ? »;Je travaille chez Atos Consulting à temps plein;Avantages... je cherche encore et toujours;InconvénientsLourdeur du Groupe, absence totale de stratégie et d'autonomie;2.8
51;8;« Au moins sur le Titanic, ils chantaient »;J'ai travaillé chez Atos Consulting à temps plein plus de 5 ans;"Avantages5 jours de congés par ans (4 pour les fêtes de fin d'année), et un en Mai pour un pont, et des viennoiseries deux fois par semaine.
Le bureau de Nyon est bien placé pour ceux qui viennent en voiture (plein de de places de parking).
Bon deuxième pilier.
Des apéros presque tous les vendredi soir fêter les départs.";"InconvénientsPresque tout. De moins en moins de clients, et le principal client est dans une situation très délicate.
Difficile de se projeter à plus de 1 ou 2 mois";2.8
52;8;« Business Consultant - Digital Transformation »;Je travaille chez Atos Consulting à temps plein;"Avantagesouvert
hierarchie plate
clients grands portefeuilles
connaissance SI";"Inconvénientsrémunération
écart de compétence entre employées
peu de visibilité / projection au sein du groupe";2.8
53;8;« Atos Consulting c'est fini »;Je travaille chez Atos Consulting à temps plein depuis plus de 10 ans;AvantagesJours de congé supplémentaires (wellness), team events (bien que de plus en plus rares), petites attentions au bureau (pains au chocolat, fruits, boissons etc...);InconvénientsDepuis le rachat de CTP par Atos, la division Atos consulting est en perdition. Les employés fuient, se font licencier ou vont se faire licencier. Nous sommes passés de 250 en Suisse à 150? voir moins.L'ambiance est forcément en conséquences...et c'est franchement la fin. A moyen terme le bureau de Nyon devrait fusionner avec celui de Renens j'imagine.;2.8
54;10;« Développeur de logiciel avec deux ans d'expérience »;Je travaille chez Atos-Syntel à temps plein depuis plus d'un an;AvantagesExcellente opportunité d'apprentissage et de progression pour les juniors;InconvénientsPas beaucoup;3.4
55;10;« Avis Positif »;Je travaille chez Atos-Syntel à temps plein;AvantagesJe pense que cet avis doit etre positif car c'est une belle boite.;InconvénientsJe ne vois pas vraiment d'inconvenient la tout de suite maintenant. Mais ce la peut venir assez vite.;3.4
56;12;« Travailler sous une direction faschissante et incompétente »;J'ai travaillé chez Atos Medical à temps plein plus d'un an;"AvantagesSi vous aimez les gens qui s'approprient vos succès, vos idées : allez-y
Pas de plan marketing, aucun dossier de remboursement en cours.
Fraude la sécurité sociale en se faisant rembourser les nouvelles prothèses phonatoires avec les anciennes références qui avaient, elles, le droit d'etre remboursées";InconvénientsTrop long à énumérer, mais tant que cette société sera manager que sous l'aspect financier sans tenir compte du reste et plus particulièrement des patients, elle stagnera;2.6
57;17;« Une entreprise bienveillante et formatrice »;J'ai travaillé chez Dassault Systemes à temps plein;"Avantages- Collègues tres smart 
- Formation permanente 
- Process efficaces 
- Fléxibilité 
- Rémuneration et avantages très attractifs";InconvénientsIl n'y a pas d'inconvenients;3.7
58;17;« Dassault Systemes »;J'ai travaillé chez Dassault Systemes à temps plein plus de 10 ans;AvantagesL entreprise propose de bons Avantages sociaux;InconvénientsL entreprise se situe a Vélizy;3.7
59;17;« 3DS »;Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans;AvantagesExcellent CE. Interessement et paricipation representant jusqu'à 20% du salaire brut. Excellente mutuelle;InconvénientsBeaucoup de politique qui ralentissent la prise de décisions.;3.7
60;17;« Entreprise intéressante et innovante »;Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans;"AvantagesIntéressement participation élevés
Entreprise innovante";"InconvénientsLocalisation 
Salaire fixe peu élevé 
Peu de confiance dans le marketing";3.7
61;17;« Bonne entreprise mais management à revoir »;Je travaille chez Dassault Systemes à temps plein;"Avantages- CE de qualité (chèques-vacances et remboursements importants des frais pour partir en voyage).
- Ambiance générale, bonne humeur, tutoiement, code vestimentaire casual toléré.
- Cadre de travail très agréable (le campus est un véritable lieu de vie, on peut y acheter son pain le soir, assister à une conférence l'après-midi, boire son café sur une terrasse).
- Restaurant d'entreprise.
- Télétravail et home...office très répandu.
- L'intéressement et participation d'environ 20% du salaire brut.
- Bonne expérience pro et CV gonflé.Dérouler";"Inconvénients- Erreurs de management assez récurrentes. Cas où les CDD ne bénéficient pas de certaines primes acquises par l'ensemble de l'équipe sur une période difficile, pour un travail identique, etc.
- Les managers ne cherchent pas à conserver les talents mais à maintenir une ambiance de façade (copinage entre salariés, ambiance hypocrite, médire les autres est trop répandu).
- Enracinement d'anciens salariés qui peuvent...freiner l'entreprise (la direction semble agir sur le problème avec un accord d'entreprise qui permet le départ à la retraite plus tôt au frais de DS).
- Culture du présentéisme très marquée (beaucoup jouent à paraître débordés, à manger au bureau, à faire beaucoup d'heures avec très peu de productivité).Dérouler";3.7
62;17;« Parfait ! »;J'ai travaillé chez Dassault Systemes à temps plein plus d'un an;AvantagesJ'étais apprenti au sein de Dassault Systèmes et il y a de nombreux avantages: CE, chèques vacances, salaire intéressant, treizième mois, participation, intéressement etc. En plus de ça, le cadre de l'entreprise est juste magnifique !;InconvénientsRAS je ne vois pas d'inconvénients;3.7
63;17;« Bons produits »;Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans;"AvantagesInvestissement régulier et conséquent en R&D, donc de très bons produits.
Bons avantages via le Comité d'Entreprise. Intéressement et participation.";InconvénientsPourrait augmenter les revenus si l'entreprise était plus tournée vers les ventes.;3.7
64;17;« Une entreprise exigeant et stimulante »;Je travaille chez Dassault Systemes à temps plein depuis plus d'un an;"AvantagesLes avantages liés au C.E
Les primes
L'environnement de travail";"InconvénientsUn micromanagement parfois dérangeant.
La localisation.";3.7
65;17;« Très bien »;Je travaille chez Dassault Systemes à temps plein depuis moins d'un an;Avantages44 jour de congers et bcp d'autres avantages;InconvénientsLes technologies utilisées sont parfois vieillissantes (frameworks et autre).;3.7
66;17;« GOOD »;Je travaille chez Dassault Systemes à temps plein depuis plus d'un an;Avantagestrès bonne expérience et enrichissante à tous les niveaux;Inconvénientsle seul point à amélioré c'est parfois la communication entre les différents fonctions;3.7
67;17;« Avis global »;Je travaille chez Dassault Systemes à temps plein depuis plus d'un an;;;3.7
68;17;« Entreprise performante »;Je travaille chez Dassault Systemes à temps plein;;;3.7
69;17;« Pas d'évolution et avis des développeurs non pris en comote »;Je travaille chez Dassault Systemes à temps plein depuis plus de 5 ans;;;3.7
70;17;« Aussi intéressante que complexe »;J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans;;;3.7
71;17;« Il y a quelque chose de pourri... »;Je travaille chez Dassault Systemes à temps plein depuis plus d'un an;;;3.7
72;17;« Stable »;Je travaille chez Dassault Systemes à temps plein;;;3.7
73;17;« Consultant PLM »;Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans;;;3.7
74;17;« Très bonne entreprise »;J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans;;;3.7
75;17;« Du bon et du moins bon »;Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans;;;3.7
76;17;« Petits salaire vs. grandes avantages »;Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans;;;3.7
77;19;« Myopie du management marquée par une forte tendance sectaire »;J'ai travaillé chez SolidWorks à temps plein moins d'un an;"AvantagesFait partie d'un grand groupe de renom comme DS (environnement international, réseau étendu mais pas toujours ouvert à la branche Solidworks).
Salaire, intéressement, CE (ticket vacances)
Infrastructure moderne du campus de Véilzy, grand parking.";"InconvénientsIncompétence généralisée des manageurs
Vision (quand il y'en a une) trop court-termiste
Manque de culture du résultat
Fermé aux nouvelles idées ou applications - mécanique rouillé 
Problème récurrent de communication - manque de précision
Environnement toxique marqué par une politique d’insoumission masquée des subordonnés";3.5
78;19;« Etudiant enim »;Je travaille chez SolidWorks à temps plein depuis plus de 3 ans;Avantagesécole sérieuse, formant de bons ingénieurs, reconnu auprès de l'industrie;Inconvénientsrelation avec le corps enseignant;3.5
79;23;« Une expérience correcte mais sans plus »;Je travaille chez 2S2I Solutions & Services à temps plein depuis plus d'un an;;;3.3
80;23;« 7 ans chez 2S2I, et c'est pas prêt de s'arrêter! »;Je travaille chez 2S2I Solutions & Services à temps plein depuis plus de 5 ans;;;3.3
81;23;« Pas de suivi, mission hasardeuse »;J'ai travaillé chez 2S2I Solutions & Services à temps plein moins d'un an;;;3.3
82;23;« Excellentes relations humaines, à l'écoute des collaborateurs »;J'ai travaillé chez 2S2I Solutions & Services à  moins d'un an;;;3.3
83;25;« Account Executive »;Je travaille chez CEGID à temps plein depuis plus de 8 ans;AvantagesBonne ambiance, rémunération attractive entre 100 et 140k€ selon les années, remboursement de tous les frais si RDV client (IK, repas, TR, Transport, déplacements...), base installée de clients avec panels d’offres énorme (Retail, Tax, HCM, ERP, Cabinets d’EC), très bonne notoriété...;InconvénientsRigidité de l’organisation, des financiers tout là haut, trop de rationalisation,  surchauffe...;2.7
84;25;« Société structurée internationale humaine orientée clients ey résultat »;Je travaille chez CEGID à temps plein;AvantagesTravailler pour un groupe a taille humaine dynamique en forte croissa2 ce et respectueux des hommes et de leur environnement;InconvénientsEntreprise encore trop européenne;2.7
85;25;« Confusion »;J'ai travaillé chez CEGID à temps plein plus de 5 ans;"Avantagesambition des projets
culture du challenge";"Inconvénientsclientélisme de la direction (interne)
courage managérial
décalage entre les valeurs et le terrain";2.7
86;25;« En pleine transformation »;J'ai travaillé chez CEGID à temps plein;AvantagesChèques vacances chèque noel;InconvénientsDes coûts réduits d année en année donc de moins en moins d avantage;2.7
87;25;« grand groupe »;Je travaille chez CEGID à temps plein depuis plus de 10 ans;"Avantagesstructure et moyens
interessement et participation";Inconvénientsstrates manageriales qui ralentissent les projets;2.7
88;25;« En transformation »;Je travaille chez CEGID à temps plein depuis plus de 5 ans;AvantagesTransformation, produits intéressants, culture d'entreprise;InconvénientsRH, administratif, processus, silo, viellissante;2.7
89;25;« A éviter »;J'ai travaillé chez CEGID à temps plein;"AvantagesMoyens financiers
Qualité du marketing externe";"InconvénientsDéshumanisation 
Faible reconnaissance 
Chasse aux seniors";2.7
90;25;« Chef de projet »;Je travaille chez CEGID à temps plein;AvantagesGrande Autonomie dans le poste;"InconvénientsManque d  esprit d équipe 
Salaire";2.7
91;25;« Une transformation qui peine à venir et pour aller où ? »;Je travaille chez CEGID à temps plein depuis plus de 8 ans;"Avantages- Beaucoup de projets
- Une bonne gestion financière 
- Un parc client conséquent et varié
- Un leader sur certains de ses marchés";"Inconvénients- Beaucoup d'investissements dans le marketing au détriment des produits
- Evolution de carrière verrouillée par le népotisme
- Des clients de plus en plus insatisfaits et de moins en moins de gens compétents pour leur répondre
- Un sentiment de gâchis";2.7
92;25;« MAFIA! »;Je travaille chez CEGID à temps plein depuis plus d'un an;Avantagesj'en vois pas!!! a part boire du champagne dans les salons st congrès clients!!!!;"InconvénientsUne boîte de copains! ne pas confondre fidélité et copinage! aucune politique RH!
croissance par rachat successif! pas de projet collectif! une boîte qui n'a pas d'âme ,pas d'identité!";2.7
93;25;« Vendre des choses impossible : une habitude ! »;J'ai travaillé chez CEGID à temps plein;AvantagesVotre CE est la seule chose qui vous sauve.;InconvénientsManque absolu de respect envers les employés. C'est bien beau des faire des événements pour valoriser vos produits mais il faut penser à vos collaborateurs.;2.7
94;25;« Amateurisme de PME »;Je travaille chez CEGID à temps plein depuis plus d'un an;AvantagesJe ne vois aucun avantage.;InconvénientsMéthode managériales d'il y a 20 ans, Politique RH d'il y a 30 ans. Capital sympathie 0. Aucune délégation, et des gens avec le melon de partout.;2.7
95;25;« de belles perspectives »;Je travaille chez CEGID à temps plein depuis plus de 10 ans;Avantagesprojet d'évolution passionnant avec de belles potentialités;Inconvénientsdifficultés à embarquer tout le monde;2.7
96;25;« Bof »;Je travaille chez CEGID à temps plein depuis plus de 10 ans;AvantagesMutuelle. Tickets resto  comité d'entreprise;"InconvénientsSalaire 
Conditions de travail
Hierarchie trop lourde";2.7
97;25;« Bon emploi pour commencer »;Je travaille chez CEGID à temps plein;AvantagesOffre beaucoup de responsabilité, et permet de se lancer dans le monde du travail;InconvénientsSalaire un peu bas par rapport à la concurrence;2.7
98;25;« Formateur mais ne sait pas fidéliser ses salariés »;Je travaille chez CEGID à temps plein depuis plus d'un an;AvantagesCE très actif, formations possible.;InconvénientsÉvolution en interne extrêmement compliqué. Gestion des talents inexistante.;2.7
99;25;« CORRECT »;J'ai travaillé chez CEGID à temps plein moins d'un an;AvantagesC'EST UN GRAND GROUPE,ILS SONT DU LEADER DU NUMÉRIQUE SUR LES PROGICIELS DE COMPTABILITÉ, GESTION DE LA PAIE ET GESTION COMMERCIALE. C'EST TRÈS INTÉRESSANT, C'EST UNE BONNE FORMATION.;InconvénientsC'est une trop grosse infrastructure qui manque de transparence et de communication avec ses salaries, trop d'intermédiaires et pas assez de communication directe.;2.7
100;25;« Grosse boite »;Je travaille chez CEGID à temps plein depuis moins d'un an;"Avantagesgrosse boite, 
pas de autant de pression que dans les PME";"Inconvénientslourdeur système
support client complexe et inefficace";2.7
101;25;« En déperdition / attention à  l'essorage !! »;Je travaille chez CEGID à;"AvantagesIl fut un temps où il était possible de correctement gagner sa vie notamment grâce au variable.
Mais c est terminé ! 

Le nom sur le CV...";"Inconvénients- Commissions divisées par 3 ou 4 en 2019.
- Changement de plan de commissionnement chaque année.
- De jeunes chefs d'orchestres derrière des tableaux Excel sans aucune connexion avec le terrain
- La direction applique machinalement les directives de restrictions coûts et d économies sans en percevoir les conséquences, 
- Aucune considération de la direction pour ses employés. 
- Pas de voiture de fonction
-...Delocalisation de Paris 8 à....  Rueil Malmaison
- Notes de frais ridiculesDérouler";2.7
102;25;« intéressant pour la démarrage de sa carrier »;Je travaille chez CEGID à temps plein depuis plus de 8 ans;AvantagesUne société leader du marché;Inconvénientsmanque de reconnaissance par les managers;2.7
103;27;« Excellent Team »;Je travaille chez Bayer à temps plein;AvantagesOrganiser / structure / le directeur Excellent / Teamwork / helpful /;InconvénientsAucuns inconvénients / car la société est très bien organisée;3.9
104;27;« Ambiance agréable, stratégie difficile à comprendre »;Je travaille chez Bayer à temps plein;AvantagesBonne ambiance, diversité des projets, conditions salariales très bonnes;"InconvénientsManagement sans expérience
Difficulté à suivre la stratégie de l'entreprise 
Culture pharmaceutique absente mais cela semble être un choix
Peu d'évolution possible sur site dans les métiers scientifiques. Le site reste axé business";3.9
105;27;« Excellent groupe »;J'ai travaillé chez Bayer à temps plein;AvantagesDéveloppé des compétences en multiples domaines;InconvénientsLe diplôme supérieur est essentiel pour le développement de carrière.;3.9
106;27;« Bonne entreprise »;Je travaille chez Bayer à temps plein depuis plus d'un an;AvantagesSalaire avantages horaires de travail évolution;InconvénientsCommunication et manque de management;3.9
107;27;« alternance »;Je travaille chez Bayer à temps plein;"Avantages- grand groupe 
- responsabilités
- missions et projets inintéressants
- expérience globalement positive";"Inconvénients- opacité sur certain projet 
- parfois manque d'écoute du manager 
- savoir être politique  est indispensable";3.9
108;27;« Marketing »;J'ai travaillé chez Bayer à temps plein;"AvantagesIntégration
Manager 
Process 
Outils BI 
Avantages sociaux 
Parking";"InconvénientsRéorganisation 
Bureaux anciens
Pas de vestiaires";3.9
109;27;« Société qui évolue avec ses employées »;J'ai travaillé chez Bayer à temps plein moins d'un an;Avantagesbonne culture d'entreprise, bon travail d'équipe, avantages salariales;Inconvénientshiérarchisation, beaucoup de temps pris pour la prise de décision;3.9
110;27;« Positif »;Je travaille chez Bayer à temps plein;"AvantagesBenefices d'une grande société 
Ambiance très collégiale";InconvénientsRythme de travail très soutenu;3.9
111;27;« Mauvaise ambiance »;J'ai travaillé chez Bayer à temps plein;AvantagesVous entrez dans une grosse entreprise;InconvénientsAmbiance pas top, trop grosse boite;3.9
112;27;« Un lieu de travail très agréable »;J'ai travaillé chez Bayer à temps plein;AvantagesTravail d'équipe et des opportunités de développement personnel.;InconvénientsEnvironnement exigeant avec de constants changements.;3.9
113;27;« Les avantages d’une grosse boîte »;Je travaille chez Bayer à temps plein depuis plus de 3 ans;AvantagesCE / ticket restaurant /;InconvénientsBeaucoup de turnover / manque de stabilisation des procédés;3.9
114;27;« Avis »;Je travaille chez Bayer à temps plein;AvantagesBonne ambiance, conditions attractives, projets motivants;InconvénientsChangements fréquents, charge de travail;3.9
115;27;« Gestionnaire des opérations »;J'ai travaillé chez Bayer à temps plein;AvantagesEnvironnement très international.  De super collègues de travail. Installations rénovées très agréables. Bien situé (Station SBB);"InconvénientsBureaux en espace très ouvert (aucune ségrégation entre les bureaux), parfois très bruyant.
Depuis des mois, la société passe par une réduction des coûts. Pas de formations/séminaires
Réorganisations.
Organigramme strict pour grimper les échelons organisationnels
Pas de parking";3.9
116;27;« Bonne expérience ! »;Je travaille chez Bayer à temps plein depuis plus d'un an;AvantagesExcellents  collègues, projets,  ambiance d'entreprise !;InconvénientsImage sur le marché, bien éloignée de la réalité en interne... il faut assumer !;3.9
117;27;« Recherche »;Je travaille chez Bayer à;AvantagesEnvironnement favorable. Structure horizontale. De bons avantages sociaux.;InconvénientsDécision lente. Orienté processus. Trop de processus d'évaluation.;3.9
118;27;« CRA à temps plein »;Je travaille chez Bayer à temps plein;AvantagesActivités de monitoring dans différents aires thérapeutiques, équilibre vie privée / vie professionnelle;InconvénientsPas d'inconvénients en recherche clinique pour cette entreprise (inconvénients du métier de CRA, mais comme dans tous les autres laboratoires);3.9
119;27;« Bien pour la stabilité »;Je travaille chez Bayer à temps plein;AvantagesC'est bien pour avoir la stabilité d'une grande entreprise et ses avantages;Inconvénientsévolution difficile, entretien d'évolution avec RH inexistant;3.9
120;27;« Entreprise moderne et dynamique »;J'ai travaillé chez Bayer à temps plein plus d'un an;AvantagesActivités intéressantes. De bonnes possibilités d'évolution de carrière et de primes. Possibilités en matière de télétravail et de temps partiel.;"InconvénientsRestructurations fréquentes
Des écarts importants en termes de reconnaissance selon les business";3.9
