idsociete;nomsociete;villeSociete;codePostalSociete;regionSociete;paysSociete
200;Octopeek;enghien les bains;;ile de france;france
201;Gfi world;nantes;;;fr
202;Baldwin Partners;nantes;;;fr
203;Mixt Composites Recyclables;;;;
204;GROUPE M6;neuilly sur seine;;ile de france;france
205;Astek Group;;;;
206;Neosoft Solutions Inc;rennes;;;fr
207;Keyrus Group;;;;
208;Yongzhi Plastic Electronics (Shenzhen) Co.;;;;
209;AnotherBrain;paris;;ile de france;france
210;Thales-Raytheon Systems;;;;
211;L&T Thales Technology Services;;;;
212;SKF Groupe;vernon;;;fr
213;SOFTEAM Group;paris 16;;ile de france;france
214;JEMS Group;;;;
215;Keyrus;paris;;ile de france;france
216;Davidson consulting;lyon;;;fr
217;Novulys;lyon;;;fr
218;Capgemini Invent;;;;
219;Flatchr;lyon;;;fr
220;2s2i Groupe;montpellier;;;fr
221;Open;;;;
222;AVISTO;aix en provence;;;fr
223;ILYEUM;clichy;;;fr
224;Open Minds Open Hearts Day Care;;;;
225;Acadomia;azur;;;fr
226;GFI Group;montpellier;;;fr
227;OpenText;;;;
228;ICSIS;lille;;;fr
229;Open Sourcing;;;;
230;GFI;montpellier;;;fr
231;Artefact Group;;;;
232;BeMore Holding;aix en provence;;;fr
233;2S2I;montpellier;;;fr
234;Artefacts Studio;;;;
235;rh Studio;lille;;;fr
236;CEGEDIM SRH;boulogne billancourt;;;fr
237;CHU de Bordeaux;talence;;;fr
238;Openfield Live;;;;
239;TV France International;paris;;;fr
240;Axande;courbevoie;;;fr
241;Phaidon International;;;;
242;Banco Cetelem, BNP Paribas Personal Finance;merignac;;;fr
243;Sogia Systeme;paris;;;fr
244;Adthink-Media;;;;
245;PERFECTSIGHT;puteaux;;;fr
246;SKF;;;;
247;Fitae;aix en provence;;;fr
248;Talea S.r.l.;paris;;;fr
249;TALEA consult;paris;;;fr
250;Groupe Apsaroke;marseille;;;fr
251;Gfi Informatique;;;;
252;ciorane;paris;;;fr
253;GFI Software;;;;
254;aldecis;paris;;;fr
255;SudOuest RH;paris;;;fr
256;AKKA Tech;paris;;;fr
257;ACCEO Solutions;;;;
258;Asigma;paris;;;fr
259;Valuetis;paris;;;fr
260;Eversa;region de paris;;;france
261;Alteca;paris;;;fr
262;Blue Talent;region de paris;;;france
263;BNP Paribas Personal Finance;merignac;;;fr
264;ibis;;;;
265;OTV;;;;
266;Veolia Water Tech;;;;
267;Groupe NICOLLIN - Groupe VEOLIA;;;;
268;Transdev;;;;
